Mes,Victimas
Enero,32
Febrero,30
Marzo,31
Abril,35
Mayo,28
Junio,27
Julio,33
Agosto,39
Septiembre,42
Octubre,46
Noviembre,29
Diciembre,39
Enero,38
Febrero,47
Marzo,68
Abril,55
Mayo,51
Junio,57
Julio,43
Agosto,41
Septiembre,53
Octubre,46
Noviembre,57
Diciembre,46
Enero,49
Febrero,64
Marzo,61
Abril,61
Mayo,69
Junio,73
Julio,70
Agosto,68
Septiembre,56
Octubre,60
Noviembre,57
Diciembre,54
Enero,57
Febrero,66
Marzo,68
Abril,76
Mayo,59
Junio,75
Julio,84
Agosto,65
Septiembre,76
Octubre,86
Noviembre,66
Diciembre,97
Enero,70
Febrero,69
Marzo,86
Abril,75
Mayo,79
Junio,77
Julio,89
Agosto,90
Septiembre,91
